10 Apr 23 (21:11),0044,"Pentagon numbers"
03 Apr 23 (22:25),0043,"Sub-string divisibility"
01 Apr 23 (22:51),0042,"Coded triangle numbers"
01 Apr 23 (17:41),0836,"A Bold Proposition"
31 Mar 23 (17:05),0041,"Pandigital prime"
29 Mar 23 (18:21),0040,"Champernowne's constant"
28 Mar 23 (17:10),0039,"Integer right triangles"
27 Mar 23 (12:36),0038,"Pandigital multiples"
24 Mar 23 (23:15),0037,"Truncatable primes"
24 Mar 23 (22:33),0036,"Double-base palindromes"
20 Mar 23 (23:47),0035,"Circular primes"
20 Mar 23 (13:36),0034,"Digit factorials"
20 Mar 23 (12:43),0033,"Digit cancelling fractions"
17 Mar 23 (15:34),0032,"Pandigital products"
12 Mar 23 (15:14),0076,"Counting summations"
12 Mar 23 (15:11),0031,"Coin sums"
09 Mar 23 (18:36),0030,"Digit fifth powers"
09 Mar 23 (16:53),0029,"Distinct powers"
08 Mar 23 (12:44),0028,"Number spiral diagonals"
07 Mar 23 (23:02),0027,"Quadratic primes"
07 Mar 23 (15:28),0026,"Reciprocal cycles"
06 Mar 23 (12:05),0025,"1000-digit Fibonacci number"
05 Mar 23 (22:08),0024,"Lexicographic permutations"
05 Mar 23 (13:14),0023,"Non-abundant sums"
04 Mar 23 (23:49),0022,"Names scores"
04 Mar 23 (11:28),0021,"Amicable numbers"
03 Mar 23 (14:40),0019,"Counting Sundays"
03 Mar 23 (00:16),0020,"Factorial digit sum"
28 Feb 23 (22:33),0067,"Maximum path sum II"
28 Feb 23 (22:23),0018,"Maximum path sum I"
28 Feb 23 (18:18),0017,"Number letter counts"
28 Feb 23 (16:03),0016,"Power digit sum"
27 Feb 23 (22:19),0015,"Lattice paths"
27 Feb 23 (20:22),0014,"Longest Collatz sequence"
27 Feb 23 (19:39),0012,"Highly divisible triangular number"
27 Feb 23 (14:48),0013,"Large sum"
26 Feb 23 (23:12),0011,"Largest product in a grid"
26 Feb 23 (16:12),0010,"Summation of primes"
26 Feb 23 (15:14),0009,"Special Pythagorean triplet"
26 Feb 23 (13:32),0008,"Largest product in a series"
25 Feb 23 (22:02),0007,"10001st prime"
25 Feb 23 (18:04),0005,"Smallest multiple"
25 Feb 23 (17:30),0004,"Largest palindrome product"
25 Feb 23 (16:47),0003,"Largest prime factor"
24 Feb 23 (18:02),0006,"Sum square difference"
22 Feb 23 (23:41),0002,"Even Fibonacci numbers"
22 Feb 23 (22:58),0001,"Multiples of 3 or 5"
